ID	Name	Sex	Team	NOC	Sport	Age	Height	Weight	Event
103851	James David "Dave" Ryding	M	Great Britain	GBR	Alpine Skiing	23	180	74	Alpine Skiing Men's Slalom
103466	Vitalijus Rumiancevas	M	Lithuania	LTU	Alpine Skiing	24	178	70	Alpine Skiing Men's Giant Slalom
103466	Vitalijus Rumiancevas	M	Lithuania	LTU	Alpine Skiing	24	178	70	Alpine Skiing Men's Slalom
103384	Carolina Vernica Ruiz Castillo	F	Spain	ESP	Alpine Skiing	28	165	63	Alpine Skiing Women's Downhill
103384	Carolina Vernica Ruiz Castillo	F	Spain	ESP	Alpine Skiing	28	165	63	Alpine Skiing Women's Super G
103384	Carolina Vernica Ruiz Castillo	F	Spain	ESP	Alpine Skiing	28	165	63	Alpine Skiing Women's Giant Slalom
103271	Marko Rudi	M	Bosnia and Herzegovina	BIH	Alpine Skiing	20	184	82	Alpine Skiing Men's Giant Slalom
103271	Marko Rudi	M	Bosnia and Herzegovina	BIH	Alpine Skiing	20	184	82	Alpine Skiing Men's Slalom
103178	Shona Rubens	F	Canada	CAN	Alpine Skiing	23	170	78	Alpine Skiing Women's Downhill
103178	Shona Rubens	F	Canada	CAN	Alpine Skiing	23	170	78	Alpine Skiing Women's Super G
103178	Shona Rubens	F	Canada	CAN	Alpine Skiing	23	170	78	Alpine Skiing Women's Giant Slalom
103178	Shona Rubens	F	Canada	CAN	Alpine Skiing	23	170	78	Alpine Skiing Women's Combined
102997	Christophe Roux	M	Moldova	MDA	Alpine Skiing	26	183	78	Alpine Skiing Men's Giant Slalom
102997	Christophe Roux	M	Moldova	MDA	Alpine Skiing	26	183	78	Alpine Skiing Men's Slalom
102271	Andreas Romar	M	Finland	FIN	Alpine Skiing	20	190	91	Alpine Skiing Men's Downhill
102271	Andreas Romar	M	Finland	FIN	Alpine Skiing	20	190	91	Alpine Skiing Men's Super G
102271	Andreas Romar	M	Finland	FIN	Alpine Skiing	20	190	91	Alpine Skiing Men's Giant Slalom
102271	Andreas Romar	M	Finland	FIN	Alpine Skiing	20	190	91	Alpine Skiing Men's Slalom
102271	Andreas Romar	M	Finland	FIN	Alpine Skiing	20	190	91	Alpine Skiing Men's Combined
102159	Marion Rolland	F	France	FRA	Alpine Skiing	27	167	77	Alpine Skiing Women's Downhill
101607	Roberts Rode	M	Latvia	LAT	Alpine Skiing	22	182	83	Alpine Skiing Men's Downhill
101607	Roberts Rode	M	Latvia	LAT	Alpine Skiing	22	182	83	Alpine Skiing Men's Combined
101031	Antonio Ristevski	M	Macedonia	MKD	Alpine Skiing	20	180	84	Alpine Skiing Men's Giant Slalom
101031	Antonio Ristevski	M	Macedonia	MKD	Alpine Skiing	20	180	84	Alpine Skiing Men's Slalom
100778	Kevin Esteve Rigail	M	Andorra	AND	Alpine Skiing	20	180	80	Alpine Skiing Men's Downhill
100778	Kevin Esteve Rigail	M	Andorra	AND	Alpine Skiing	20	180	80	Alpine Skiing Men's Super G
100778	Kevin Esteve Rigail	M	Andorra	AND	Alpine Skiing	20	180	80	Alpine Skiing Men's Combined
100758	Susanne Riesch	F	Germany	GER	Alpine Skiing	22	179	80	Alpine Skiing Women's Slalom
100742	Mara Jos Rienda Contreras	F	Spain	ESP	Alpine Skiing	34	167	66	Alpine Skiing Women's Giant Slalom
100543	Kaylin Lorraine Richardson	F	United States	USA	Alpine Skiing	25	178	68	Alpine Skiing Women's Combined
100466	Cyprien Richard	M	France	FRA	Alpine Skiing	31	177	78	Alpine Skiing Men's Giant Slalom
100173	Aurlie Revillet	F	France	FRA	Alpine Skiing	23	173	73	Alpine Skiing Women's Downhill
100173	Aurlie Revillet	F	France	FRA	Alpine Skiing	23	173	73	Alpine Skiing Women's Super G
100037	Mikail Renzhin	M	Israel	ISR	Alpine Skiing	31	181	74	Alpine Skiing Men's Giant Slalom
100037	Mikail Renzhin	M	Israel	ISR	Alpine Skiing	31	181	74	Alpine Skiing Men's Slalom
99420	Lucia Recchia (-Wieser)	F	Italy	ITA	Alpine Skiing	30	171	69	Alpine Skiing Women's Downhill
99420	Lucia Recchia (-Wieser)	F	Italy	ITA	Alpine Skiing	30	171	69	Alpine Skiing Women's Super G
99394	Viktoria Rebensburg	F	Germany	GER	Alpine Skiing	20	170	67	Alpine Skiing Women's Super G
99394	Viktoria Rebensburg	F	Germany	GER	Alpine Skiing	20	170	67	Alpine Skiing Women's Giant Slalom
99334	Giuliano Razzoli	M	Italy	ITA	Alpine Skiing	25	182	88	Alpine Skiing Men's Slalom
99260	Lyaysan Rimovna Rayanova	F	Russia	RUS	Alpine Skiing	21	166	62	Alpine Skiing Women's Super G
99260	Lyaysan Rimovna Rayanova	F	Russia	RUS	Alpine Skiing	21	166	62	Alpine Skiing Women's Giant Slalom
99260	Lyaysan Rimovna Rayanova	F	Russia	RUS	Alpine Skiing	21	166	62	Alpine Skiing Women's Slalom
99115	Ivan Ratki	M	Croatia	CRO	Alpine Skiing	23	180	84	Alpine Skiing Men's Downhill
99115	Ivan Ratki	M	Croatia	CRO	Alpine Skiing	23	180	84	Alpine Skiing Men's Super G
99115	Ivan Ratki	M	Croatia	CRO	Alpine Skiing	23	180	84	Alpine Skiing Men's Combined
98537	Sophia Ralli	F	Greece	GRE	Alpine Skiing	21	161	61	Alpine Skiing Women's Giant Slalom
98537	Sophia Ralli	F	Greece	GRE	Alpine Skiing	21	161	61	Alpine Skiing Women's Slalom
98401	Benjamin Raich	M	Austria	AUT	Alpine Skiing	31	182	83	Alpine Skiing Men's Super G
98401	Benjamin Raich	M	Austria	AUT	Alpine Skiing	31	182	83	Alpine Skiing Men's Giant Slalom
98401	Benjamin Raich	M	Austria	AUT	Alpine Skiing	31	182	83	Alpine Skiing Men's Slalom
98401	Benjamin Raich	M	Austria	AUT	Alpine Skiing	31	182	83	Alpine Skiing Men's Combined
97219	Yelena Olegovna Prosteva	F	Russia	RUS	Alpine Skiing	19	163	56	Alpine Skiing Women's Downhill
97219	Yelena Olegovna Prosteva	F	Russia	RUS	Alpine Skiing	19	163	56	Alpine Skiing Women's Super G
97219	Yelena Olegovna Prosteva	F	Russia	RUS	Alpine Skiing	19	163	56	Alpine Skiing Women's Giant Slalom
97219	Yelena Olegovna Prosteva	F	Russia	RUS	Alpine Skiing	19	163	56	Alpine Skiing Women's Slalom
97219	Yelena Olegovna Prosteva	F	Russia	RUS	Alpine Skiing	19	163	56	Alpine Skiing Women's Combined
96821	Marie-Pier Prfontaine	F	Canada	CAN	Alpine Skiing	21	162	66	Alpine Skiing Women's Giant Slalom
96739	Manfred Pranger	M	Austria	AUT	Alpine Skiing	32	184	86	Alpine Skiing Men's Slalom
96591	Tanja Tuulia Poutiainen (-Rinne)	F	Finland	FIN	Alpine Skiing	29	170	65	Alpine Skiing Women's Giant Slalom
96591	Tanja Tuulia Poutiainen (-Rinne)	F	Finland	FIN	Alpine Skiing	29	170	65	Alpine Skiing Women's Slalom
95737	David Poisson	M	France	FRA	Alpine Skiing	27	172	88	Alpine Skiing Men's Downhill
95737	David Poisson	M	France	FRA	Alpine Skiing	27	172	88	Alpine Skiing Men's Super G
95490	Alexander Ploner	M	Italy	ITA	Alpine Skiing	31	182	82	Alpine Skiing Men's Giant Slalom
94757	Maria Helena Pietil Holmner	F	Sweden	SWE	Alpine Skiing	23	170	63	Alpine Skiing Women's Giant Slalom
94757	Maria Helena Pietil Holmner	F	Sweden	SWE	Alpine Skiing	23	170	63	Alpine Skiing Women's Slalom
93669	Karen Persyn	F	Belgium	BEL	Alpine Skiing	26	173	71	Alpine Skiing Women's Slalom
93472	Rok Perko	M	Slovenia	SLO	Alpine Skiing	24	186	93	Alpine Skiing Men's Downhill
91797	Anja Sofia Tess Prson	F	Sweden	SWE	Alpine Skiing	28	170	81	Alpine Skiing Women's Downhill
91797	Anja Sofia Tess Prson	F	Sweden	SWE	Alpine Skiing	28	170	81	Alpine Skiing Women's Super G
91797	Anja Sofia Tess Prson	F	Sweden	SWE	Alpine Skiing	28	170	81	Alpine Skiing Women's Giant Slalom
91797	Anja Sofia Tess Prson	F	Sweden	SWE	Alpine Skiing	28	170	81	Alpine Skiing Women's Slalom
91797	Anja Sofia Tess Prson	F	Sweden	SWE	Alpine Skiing	28	170	81	Alpine Skiing Women's Combined
91421	Dominik Paris	M	Italy	ITA	Alpine Skiing	20	184	100	Alpine Skiing Men's Combined
91233	Sophia Papamichalopoulou	F	Cyprus	CYP	Alpine Skiing	19	160	56	Alpine Skiing Women's Giant Slalom
